State,City,Year,SO2,NO2,PM2_5,AQI,Lat,Long
Uttar Pradesh,AGRA,1987,11.69809228,15.78071908,50.71371578,135,27.187935,78.003944
Tamil Nadu,MADRAS,1987,28.48333333,1.533333333,61.18720056,163,13.09,80.27
Bihar,JHARIA,1987,31.14285714,43.67142857,40.79146704,108,23.76,86.42
Goa,PONDA,1987,5.192157147,6.833333333,40.79146704,108,15.4027,74.0078
Bihar,SINDRI,1987,30.80735358,36.725,40.79146704,108,23.7483,86.7059
Gujarat,BARODA,1987,38.06206897,60.14827586,82.98953639,221,22.3072,73.1812
Odisha,ANGUL,1987,10.82941432,25.8096229,40.79146704,108,20.8444,85.1511
Kerala,COCHIN,1987,10.82941432,2.9,40.79146704,108,9.9312,76.2673
Goa,VASCO,1987,7.438563511,11.3,40.79146704,108,15.3982,73.8113
Uttar Pradesh,ANPARA,1987,37.68716624,42.15629507,48.20809741,128,24.2049,82.7832
Maharashtra,PUNE,1987,8.839869849,19.95555556,40.79146704,108,18.513271,73.849852
West Bengal,HOWRAH,1987,74.664,130.452,76.68795804,204,22.589167,88.310278
Rajasthan,KOTA,1987,27.62686624,85.78648463,69.34549397,185,25.182544,75.839065
Karnataka,MYSORE,1987,18.7788672,10.26844869,42.30226212,112,12.292664,76.638543
West Bengal,HALDIA,1987,15.42903366,27.6,43.42317459,115,22.025278,88.058333
Haryana,FARIDABAD,1987,53.06666667,23.8899581,49.85623749,133,28.411236,77.313162
Punjab,LUDHIANA,1987,16.52910607,39.39363495,62.26066022,166,30.912042,75.853789
Bihar,DHANBAD,1987,17.23277347,22.55714286,40.79146704,108,23.801988,86.443244
Gujarat,SURAT,1987,13.26666667,15.98333333,40.79146704,108,21.195944,72.830232
Himachal Pradesh,SHIMLA,1987,12.37647351,29.49671189,46.61881947,124,31.104423,77.166623
Delhi,DELHI,1987,34.42085585,40.8,88.99956445,237,28.651952,77.231495
Odisha,TALCHER,1987,10.82941432,25.8096229,40.79146704,108,20.95,85.23
Uttar Pradesh,ANPARA,1988,52.84117757,48.41840981,58.27352434,155,24.2049,82.7832
Goa,PONDA,1988,4.933333333,15.03333333,40.79146704,108,15.4027,74.0078
Bihar,SINDRI,1988,28.28333333,19.975,40.79146704,108,23.7483,86.7059
Puducherry,PONDICHERY,1988,12.05333333,22.64666667,48.94976045,130,11.9416,79.8083
Kerala,COCHIN,1988,32.59140999,82.26584979,134.9256218,359,9.9312,76.2673
Punjab,LUDHIANA,1988,26.41557484,62.09707032,98.37942051,262,30.912042,75.853789
Gujarat,BARODA,1988,31.896875,59.2125,76.48400069,204,22.3072,73.1812
Tamil Nadu,TURICORIN,1988,1.825,13.4375,40.79146704,108,8.7642,78.1348
Goa,VASCO,1988,5.016666667,15.71666667,40.79146704,108,15.3982,73.8113
Karnataka,BANGALORE,1988,60.22,29.32,81.58293408,217,12.983333,77.583333
Tamil Nadu,MADRAS,1988,36.90869565,27.45652174,97.54481248,260,13.09,80.27
Madhya Pradesh,NAGDA,1988,23.0125,14.0875,66.28613394,176,23.46,75.42
Odisha,ANGUL,1988,10.41604417,16.90524885,40.79146704,108,20.8444,85.1511
West Bengal,HOWRAH,1988,92.048,152.276,78.31961672,208,22.589167,88.310278
Bihar,JHARIA,1988,39.16363636,28.62727273,40.79146704,108,23.76,86.42
Rajasthan,KOTA,1988,45.04166667,107.0694444,62.32029687,166,25.182544,75.839065
Himachal Pradesh,SHIMLA,1988,8.403363291,26.16447459,46.61881947,124,31.104423,77.166623
Uttar Pradesh,AGRA,1988,16.35346051,13.20379026,47.98996122,128,27.187935,78.003944
Bihar,DHANBAD,1988,21.30833333,17.775,40.79146704,108,23.801988,86.443244
Delhi,DELHI,1988,21.82108099,45.6096229,78.18364516,208,28.651952,77.231495
Odisha,TALCHER,1988,15.18382502,18.92228002,40.79146704,108,20.95,85.23
Karnataka,MYSORE,1988,28.19285714,12.33928571,50.9893338,136,12.292664,76.638543
Gujarat,SURAT,1988,20.43333333,33.35454545,40.79146704,108,21.195944,72.830232
Haryana,FARIDABAD,1988,41.95263158,14.99473684,51.52606363,137,28.411236,77.313162
